,学校名,住所,センター,緯度,経度,dish,class,dish_container,food_container
0,袋井東小学校,広岡2317番地の１,中部センター,34.757416,137.945312,318,13,2,2
1,袋井西小学校,袋井市川井442番地,中部センター,34.746201,137.91658,543,20,3,3
2,袋井南小学校,高尾740番地,中部センター,34.741727,137.932212,641,22,3,3
3,袋井北小学校,久能1580番地,中部センター,34.750895,137.92393,"1,079",34,6,6
4,高南小学校,上田町306番地の２,中部センター,34.742767,137.924788,441,15,3,3
5,浅羽東小学校,浅羽2800番地,中部センター,34.721466,137.928253,387,13,3,2
6,袋井中学校,川井701番地,中部センター,34.745567,137.918747,860,30,4,4
7,袋井南中学校,愛野3110番地,中部センター,34.7455,137.932792,522,16,3,3
8,袋井東幼稚園,国本2288番地,中部センター,34.754351,137.932899,69,3,0,1
9,袋井西幼稚園,川井568番地の１,中部センター,34.744965,137.915176,62,3,0,1
10,田原幼稚園,新池190番地の１,中部センター,34.737125,137.915068,42,2,0,1
11,浅羽東こども園,浅羽2617番地の１,中部センター,34.720078,137.92894,115,6,0,1
12,浅羽西幼稚園,長溝873番地の１,中部センター,34.712064,137.919359,52,3,0,1
13,浅羽南幼稚園,松原1793番地,中部センター,34.681206,137.932098,78,3,0,1
14,浅羽北幼稚園,浅名41番地,中部センター,34.706928,137.923096,55,3,0,1
15,笠原小学校,山崎4822番地,中部センター,34.697224,137.953644,170,8,1,1
16,浅羽南小学校,西同笠148番地,中部センター,34.688866,137.944915,324,13,3,2
17,浅羽北小学校,浅羽1322番地,中部センター,34.708302,137.922394,348,14,3,2
18,浅羽中学校,浅名822番地,中部センター,34.708219,137.923672,648,20,3,3
19,今井小学校,太田692番地,調理センター,34.76761256,137.8907637,244,10,2,2
20,三川小学校,友永38番地,調理センター,34.79826894,137.8792064,174,7,2,2
21,山名小学校,春岡684番地,調理センター,34.789921,137.912979,999,29,6,6
22,周南中学校,下山梨一丁目１番地の１,調理センター,34.785091,137.912922,821,24,4,4
23,若草幼稚園,堀越766番地の１,調理センター,34.766814,137.900519,188,7,2,0
24,今井幼稚園,太田723番地の１,調理センター,34.76694002,137.8913689,65,3,1,0
25,三川幼稚園,友永113番地の１,調理センター,34.79817325,137.8803654,55,3,1,0
26,山梨幼稚園,春岡一丁目８番地の７,調理センター,34.793507,137.910889,272,11,3,0
27,若葉幼稚園,久能1310番地,調理センター,34.7658,137.917969,110,5,1,0
28,中部センター,豊沢２２８９−２,中部センター,34.737729,137.96412,0,0,0,0
29,調理センター,深見２３７,調理センター,34.782867,137.892395,0,0,0,0
30,洗浄センター,新堀166番地の3,洗浄センター,34.698517,137.934204,0,0,0,0